zip,city,state,latitude,longitude,timezone,dst
70062, Kenner, LA,29.991051,-90.2469,-6,1
48120, Dearborn, MI,42.306288,-83.15863,-5,1
94701, Berkeley, CA,37.860576,-122.29673,-8,1
14701, Jamestown, NY,42.09179,-79.24459,-5,1
68845, Kearney, NE,40.713265,-99.11839,-6,1
21401, Annapolis, MD,38.997511,-76.49803,-5,1
59801, Missoula, MT,46.855423,-114.01229,-7,1
60301, Oak Park, IL,41.887981,-87.79562,-6,1
61820, Champaign, IL,40.114931,-88.24322,-6,1
19054, Levittown, PA,40.166859,-74.82066,-5,1
71101, Shreveport, LA,32.505352,-93.74861,-6,1
30263, Newnan, GA,33.38779,-84.82536,-5,1
48823, East Lansing, MI,42.747922,-84.47143,-5,1
625, Caguas, PR,18.232109,-66.039087,-4,0
60431, Joliet, IL,41.52493,-88.19022,-6,1
65101, Jefferson City, MO,38.535897,-92.13905,-6,1
20001, Washington, DC,38.907711,-77.01732,-5,1
91790, West Covina, CA,34.068059,-117.93835,-8,1
77320, Huntsville, TX,30.805099,-95.50719,-6,1
22191, Woodbridge, VA,38.63275,-77.26786,-5,1
97005, Beaverton, OR,45.49106,-122.80359,-8,1
55368, Norwood, MN,44.756883,-93.91666,-6,1
2172, Watertown, MA,42.372596,-71.177998,-5,1
46243, Washington, IN,39.779741,-86.332995,-5,0
33301, Fort Lauderdale, FL,26.121114,-80.13187,-5,1
94014, Daly City, CA,37.699182,-122.45035,-8,1
91801, Alhambra, CA,34.090409,-118.127,-8,1
30006, Marietta, GA,33.912473,-84.557181,-5,1
34748, Leesburg, FL,28.797245,-81.88466,-5,1
84601, Provo, UT,40.230954,-111.68006,-7,1
10701, Yonkers, NY,40.943525,-73.88176,-5,1
93650, Fresno, CA,36.841454,-119.79832,-8,1
20163, Sterling, VA,39.085309,-77.645224,-5,1
23062, Gloucester Point, VA,37.257466,-76.49661,-5,1
80120, Littleton, CO,39.599687,-105.00658,-7,1
38501, Cookeville, TN,36.1832,-85.52054,-6,1
90204, Inglewood, CA,33.944714,-118.356908,-8,1
7097, Jersey City, NJ,40.73276,-74.075485,-5,1
19019, Philadelphia, PA,40.001811,-75.11787,-5,1
55401, Minneapolis, MN,44.984615,-93.27137,-6,1
33060, Pompano Beach, FL,26.232009,-80.12211,-5,1
94945, Novato, CA,38.117065,-122.56316,-8,1
12179, Troy, NY,42.71144,-73.525561,-5,1
48310, Sterling Heights, MI,42.563644,-83.07158,-5,1
71901, Hot Springs National Park, AR,34.506487,-93.01941,-6,1
17401, York, PA,39.962463,-76.72887,-5,1
40601, Frankfort, KY,38.201649,-84.86935,-5,1
55394, Young America, MN,44.805487,-93.766524,-6,1
49001, Kalamazoo, MI,42.278891,-85.55107,-5,1
23803, Petersburg, VA,37.21695,-77.43063,-5,1
11102, Astoria, NY,40.771286,-73.92462,-5,1
77449, Katy, TX,29.825908,-95.7301,-6,1
74801, Shawnee, OK,35.327341,-96.93544,-6,1
11050, Port Washington, NY,40.833246,-73.69309,-5,1
36201, Anniston, AL,33.658803,-85.85178,-6,1
5401, Burlington, VT,44.484038,-73.22126,-5,1
30116, Carrollton, GA,33.560454,-85.02254,-5,1
49684, Traverse City, MI,44.74136,-85.67316,-5,1
14064, Rochester, NY,43.158013,-77.607049,-5,1
66201, Shawnee Mission, KS,39.007755,-94.679486,-6,1
93277, Visalia, CA,36.311,-119.32637,-8,1
66051, Olathe, KS,38.899901,-94.831991,-6,1
32922, Cocoa, FL,28.366284,-80.74196,-5,1
27215, Burlington, NC,36.072336,-79.4698,-5,1
29401, Charleston, SC,32.779126,-79.9355,-5,1
13501, Utica, NY,43.087669,-75.22681,-5,1
89701, Carson City, NV,39.147877,-119.74536,-8,1
45801, Lima, OH,40.759451,-84.08458,-5,1
41101, Ashland, KY,38.473961,-82.64532,-5,1
34741, Kissimmee, FL,28.301788,-81.42159,-5,1
92856, Orange, CA,33.640302,-117.769442,-8,1
90745, Carson, CA,33.823765,-118.2668,-8,1
80110, Englewood, CO,39.646847,-104.99076,-7,1
33444, Delray Beach, FL,26.460951,-80.07891,-5,1
93001, Ventura, CA,34.311203,-119.30164,-8,1
33801, Lakeland, FL,28.041198,-81.92392,-5,1
94540, Hayward, CA,37.680181,-121.921498,-8,1
48374, Novi, MI,42.467945,-83.51766,-5,1
28051, Gastonia, NC,35.284018,-81.189693,-5,1
51101, Sioux City, IA,42.493559,-96.39562,-6,1
3839, Rochester, NH,43.267581,-70.98552,-5,1
11351, Flushing, NY,40.781703,-73.831698,-5,1
77590, Texas City, TX,29.395283,-94.91759,-6,1
12201, Albany, NY,42.614852,-73.970812,-5,1
56001, Mankato, MN,44.15644,-93.99388,-6,1
91316, Encino, CA,34.168753,-118.51636,-8,1
92658, Newport Beach, CA,33.640302,-117.769442,-8,1
30161, Rome, GA,34.253343,-85.15312,-5,1
89431, Sparks, NV,39.542711,-119.75445,-8,1
20101, Dulles, VA,39.002125,-77.442066,-5,1
29730, Rock Hill, SC,34.914611,-81.0125,-5,1
48501, Flint, MI,42.965926,-83.780835,-5,1
95926, Chico, CA,39.745973,-121.84259,-8,1
70001, Metairie, LA,29.984096,-90.16902,-6,1
99336, Kennewick, WA,46.210957,-119.16369,-8,1
21201, Baltimore, MD,39.295306,-76.62118,-5,1
62701, Springfield, IL,39.80095,-89.64999,-6,1
78130, New Braunfels, TX,29.699844,-98.10754,-6,1
31545, Jesup, GA,31.636895,-81.90843,-5,1
84321, Logan, UT,41.730637,-111.78042,-7,1
35630, Florence, AL,34.817537,-87.66253,-6,1
15901, Johnstown, PA,40.325374,-78.91485,-5,1
80501, Longmont, CO,40.171484,-105.10033,-7,1
24060, Blacksburg, VA,37.232027,-80.42127,-5,1
48103, Ann Arbor, MI,42.280887,-83.79147,-5,1
11020, Great Neck, NY,40.771082,-73.71819,-5,1
35401, Tuscaloosa, AL,33.193818,-87.56843,-6,1
35201, Birmingham, AL,33.456412,-86.801904,-6,1
34423, Crystal River, FL,28.867027,-82.572703,-5,1
87101, Albuquerque, NM,35.199592,-106.644831,-7,1
60120, Elgin, IL,42.037176,-88.25922,-6,1
10601, White Plains, NY,41.032489,-73.76454,-5,1
27530, Goldsboro, NC,35.384344,-78.00893,-5,1
7960, Morristown, NJ,40.79215,-74.48559,-5,1
95101, San Jose, CA,37.189396,-121.705327,-8,1
76540, Killeen, TX,31.085833,-97.357099,-6,1
31757, Thomasville, GA,30.883208,-83.91237,-5,1
820, Christiansted, VI,17.734211,-64.734694,-4,0
27260, High Point, NC,35.950436,-79.99345,-5,1
86301, Prescott, AZ,34.589477,-112.44726,-7,0
30083, Stone Mountain, GA,33.795622,-84.19771,-5,1
94085, Sunnyvale, CA,37.38894,-122.017956,-8,1
52801, Davenport, IA,41.522832,-90.57503,-6,1
90650, Norwalk, CA,33.906914,-118.08339,-8,1
21660, Ridgely, MD,38.954731,-75.88459,-5,1
76085, Weatherford, TX,32.847183,-97.6986,-6,1
85224, Chandler, AZ,33.328951,-111.8735,-7,0
64063, Lees Summit, MO,38.913857,-94.36397,-6,1
22301, Alexandria, VA,38.819863,-77.05854,-5,1
38301, Jackson, TN,35.60758,-88.81959,-6,1
80521, Fort Collins, CO,40.586282,-105.10494,-7,1
14901, Elmira, NY,42.091924,-76.79217,-5,1
32099, Jacksonville, FL,30.337538,-81.768622,-5,1
22401, Fredericksburg, VA,38.301829,-77.47077,-5,1
30042, Lawrenceville, GA,33.929464,-84.103226,-5,1
32114, Daytona Beach, FL,29.204009,-81.03602,-5,1
50301, Des Moines, IA,41.672687,-93.572173,-6,1
48201, Detroit, MI,42.343787,-83.05879,-5,1
20146, Ashburn, VA,39.085309,-77.645224,-5,1
88001, Las Cruces, NM,32.300193,-106.76078,-7,1
34284, Venice, FL,27.167521,-82.380967,-5,1
16801, State College, PA,40.792011,-77.84993,-5,1
22101, McLean, VA,38.93276,-77.1677,-5,1
62521, Decatur, IL,39.828586,-88.92907,-6,1
92701, Santa Ana, CA,33.747017,-117.86248,-8,1
30458, Statesboro, GA,32.423083,-81.80677,-5,1
91350, Santa Clarita, CA,34.481172,-118.42821,-8,1
92501, Riverside, CA,33.991181,-117.37074,-8,1
63011, Ballwin, MO,38.601403,-90.55209,-6,1
6430, Fairfield, CT,41.163445,-73.2629,-5,1
94035, Mountain View, CA,37.189396,-121.705327,-8,1
8901, New Brunswick, NJ,40.488304,-74.44775,-5,1
70112, New Orleans, LA,29.956804,-90.07757,-6,1
71301, Alexandria, LA,31.294532,-92.46015,-6,1
48901, Lansing, MI,42.599184,-84.371973,-5,1
5601, Montpelier, VT,44.19906,-72.559638,-5,1
48640, Midland, MI,43.605457,-84.27234,-5,1
32501, Pensacola, FL,30.420997,-87.22305,-6,1
14850, Ithaca, NY,42.449454,-76.49685,-5,1
47302, Muncie, IN,40.164393,-85.38114,-5,0
22201, Arlington, VA,38.885337,-77.09512,-5,1
79901, El Paso, TX,31.759558,-106.48011,-7,1
55101, Saint Paul, MN,44.964852,-93.08397,-6,1
55184, Duluth, MN,46.837172,-92.202829,-6,1
93454, Santa Maria, CA,34.900809,-120.34876,-8,1
31601, Valdosta, GA,30.807279,-83.28661,-5,1
19481, Valley Forge, PA,40.092269,-75.453735,-5,1
44701, Canton, OH,40.782408,-81.371185,-5,1
93901, Salinas, CA,36.665879,-121.65497,-8,1
32901, Melbourne, FL,28.077494,-80.61987,-5,1
64801, Joplin, MO,37.09416,-94.50169,-6,1
75501, Texarkana, TX,33.414708,-94.08984,-6,1
86001, Flagstaff, AZ,35.279872,-111.72256,-7,0
31700, Albany, GA,31.564274,-84.165407,-5,1
23630, Hampton, VA,37.072658,-76.38992,-5,1
90209, Beverly Hills, CA,33.786594,-118.298662,-8,1
60038, Palatine, IL,42.097976,-88.014072,-6,1
77640, Port Arthur, TX,29.879796,-93.95575,-6,1
91601, North Hollywood, CA,34.168206,-118.37246,-8,1
72032, Conway, AR,35.075467,-92.43401,-6,1
77478, Sugar Land, TX,29.627737,-95.62444,-6,1
61101, Rockford, IL,42.292221,-89.12574,-6,1
39401, Hattiesburg, MS,31.285508,-89.2799,-6,1
95350, Modesto, CA,37.671778,-121.01249,-8,1
73003, Edmond, OK,35.681402,-97.5331,-6,1
44301, Akron, OH,41.043955,-81.51919,-5,1
37201, Nashville, TN,36.164556,-86.77738,-6,1
2720, Fall River, MA,41.716952,-71.13986,-5,1
32135, Palm Coast, FL,29.466085,-81.282815,-5,1
84101, Salt Lake City, UT,40.754746,-111.89875,-7,1
37127, Murfreesboro, TN,35.791021,-86.34445,-6,1
50701, Waterloo, IA,42.473536,-92.36382,-6,1
63859, Independence, MO,36.267961,-90.031801,-6,1
73101, Oklahoma City, OK,35.491608,-97.562817,-6,1
78126, San Antonio, TX,29.55302,-98.486871,-6,1
58000, Minot, ND,48.226422,-101.274388,-6,1
15201, Pittsburgh, PA,40.471468,-79.95726,-5,1
39701, Columbus, MS,33.492107,-88.43746,-6,1
7501, Paterson, NJ,40.912198,-74.16863,-5,1
99501, Anchorage, AK,61.216799,-149.87828,-9,1
27514, Chapel Hill, NC,35.915083,-79.02939,-5,1
42301, Owensboro, KY,37.753347,-87.17419,-6,1
95201, Stockton, CA,37.672196,-121.298794,-8,1
44501, Youngstown, OH,41.017082,-80.802854,-5,1
41071, Newport, KY,39.08347,-84.48681,-5,1
11405, Jamaica, NY,40.651378,-73.870779,-5,1
50010, Ames, IA,42.02933,-93.60966,-6,1
2301, Brockton, MA,42.0794,-71.03441,-5,1
6830, Greenwich, CT,41.03073,-73.62985,-5,1
20781, Hyattsville, MD,38.946746,-76.9356,-5,1
46601, South Bend, IN,41.671197,-86.25253,-5,0
6850, Norwalk, CT,41.124546,-73.43658,-5,1
57700, Rapid City, SD,44.090788,-103.284511,-7,1
28501, Kinston, NC,35.260895,-77.56469,-5,1
31201, Macon, GA,32.830839,-83.63529,-5,1
74003, Bartlesville, OK,36.741589,-96.00614,-6,1
30719, Dalton, GA,34.801861,-84.989796,-5,1
30301, Atlanta, GA,33.844371,-84.47405,-5,1
80030, Westminster, CO,39.830936,-105.03736,-7,1
37401, Chattanooga, TN,35.017818,-85.206426,-5,1
2192, Needham, MA,42.180048,-71.08923,-5,1
79701, Midland, TX,31.995623,-102.08108,-6,1
210, Portsmouth, NH,43.005895,-71.013202,-5,1
901, San Juan, PR,18.465426,-66.10786,-4,0
59101, Billings, MT,45.737525,-108.48754,-7,1
47130, Jeffersonville, IN,38.309105,-85.72035,-5,1
16016, Boyers, PA,40.921145,-79.92758,-5,1
79830, Alpine, TX,30.011559,-103.56444,-6,1
31520, Brunswick, GA,31.166786,-81.49213,-5,1
98310, Bremerton, WA,47.58675,-122.62371,-8,1
55901, Rochester, MN,44.048931,-92.49459,-6,1
33901, Fort Myers, FL,26.62365,-81.8727,-5,1
33770, Largo, FL,27.916149,-82.80122,-5,1
70440, Mandeville, LA,30.375852,-90.07828,-6,1
33904, Cape Coral, FL,26.582185,-81.95528,-5,1
73019, Norman, OK,35.208566,-97.44451,-6,1
37311, Cleveland, TN,35.146362,-84.88723,-5,1
92401, San Bernardino, CA,34.105079,-117.29075,-8,1
59401, Great Falls, MT,47.509157,-111.27408,-7,1
75023, Plano, TX,33.054671,-96.73506,-6,1
3101, Manchester, NH,42.989984,-71.46376,-5,1
92037, La Jolla, CA,32.838761,-117.26159,-8,1
78501, Mcallen, TX,26.213105,-98.23579,-6,1
91744, La Puente, CA,34.029561,-117.93975,-8,1
22030, Fairfax, VA,38.846212,-77.32787,-5,1
76528, Gatesville, TX,31.43211,-97.72602,-6,1
48088, Warren, MI,42.516851,-82.982757,-5,1
19702, Newark, DE,39.626297,-75.71386,-5,1
93940, Monterey, CA,36.586193,-121.88667,-8,1
35020, Bessemer, AL,33.405559,-86.95141,-6,1
35601, Decatur, AL,34.595332,-86.98786,-6,1
7101, Newark, NJ,40.736101,-74.22509,-5,1
70360, Houma, LA,29.593377,-90.7475,-6,1
38555, Crossville, TN,35.929314,-85.05926,-6,1
90401, Santa Monica, CA,34.01491,-118.4922,-8,1
20601, Waldorf, MD,38.634306,-76.86008,-5,1
27401, Greensboro, NC,36.071135,-79.77468,-5,1
75961, Nacogdoches, TX,31.626011,-94.60338,-6,1
34201, Bradenton, FL,27.400627,-82.47104,-5,1
85217, Apache Junction, AZ,33.393398,-111.478975,-7,0
93401, San Luis Obispo, CA,35.262548,-120.65196,-8,1
94203, Sacramento, CA,38.380456,-121.555406,-8,1
99701, Fairbanks, AK,64.83507,-147.72045,-9,1
2344, Middleboro, MA,41.970474,-70.701357,-5,1
10301, Staten Island, NY,40.631775,-74.09432,-5,1
44481, Warren, OH,41.205342,-80.85756,-5,1
29201, Columbia, SC,33.998454,-81.03519,-5,1
33599, Punta Gorda, FL,26.871443,-82.007115,-5,1
85635, Sierra Vista, AZ,31.562546,-110.24288,-7,0
20901, Silver Spring, MD,39.020359,-77.0115,-5,1
92543, Hemet, CA,33.73542,-116.97401,-8,1
14301, Niagara Falls, NY,43.096555,-79.03925,-5,1
79401, Lubbock, TX,33.578935,-101.8316,-6,1
2740, New Bedford, MA,41.634754,-70.93752,-5,1
91006, Arcadia, CA,34.134057,-118.02662,-8,1
34652, New Port Richey, FL,28.237582,-82.72818,-5,1
95340, Merced, CA,37.294648,-120.47474,-8,1
72401, Jonesboro, AR,35.844795,-90.68443,-6,1
92605, Huntington Beach, CA,33.640302,-117.769442,-8,1
18701, Wilkes Barre, PA,41.243181,-75.88438,-5,1
1901, Lynn, MA,42.461246,-70.946743,-5,1
39301, Meridian, MS,32.339004,-88.6596,-6,1
91388, Van Nuys, CA,33.786594,-118.298662,-8,1
20190, Reston, VA,38.959673,-77.3462,-5,1
35501, Jasper, AL,33.828412,-87.27632,-6,1
84070, Sandy, UT,40.581595,-111.88821,-7,1
91909, Chula Vista, CA,33.016928,-116.846046,-8,1
47256, North Vernon, IN,39.037187,-85.617307,-5,0
91731, El Monte, CA,34.076642,-118.03942,-8,1
98003, Federal Way, WA,47.311072,-122.31188,-8,1
32570, Milton, FL,30.70969,-87.01098,-6,1
60540, Naperville, IL,41.764779,-88.14579,-6,1
71111, Bossier City, LA,32.552315,-93.70836,-6,1
27701, Durham, NC,35.997193,-78.89731,-5,1
4330, Augusta, ME,44.344406,-69.76345,-5,1
35901, Gadsden, AL,34.016747,-85.99282,-6,1
75861, Tennessee Colony, TX,31.829314,-95.86383,-6,1
94401, San Mateo, CA,37.570385,-122.32044,-8,1
46320, Hammond, IN,41.610035,-87.50574,-6,1
92262, Palm Springs, CA,33.842984,-116.54344,-8,1
79760, Odessa, TX,31.765163,-102.354346,-6,1
93030, Oxnard, CA,34.21707,-119.1769,-8,1
8540, Princeton, NJ,40.357439,-74.64922,-5,1
11735, Farmingdale, NY,40.725968,-73.44151,-5,1
28401, Wilmington, NC,34.235219,-77.94134,-5,1
18501, Scranton, PA,41.401881,-75.637626,-5,1
33019, Hollywood, FL,26.018967,-80.12231,-5,1
95401, Santa Rosa, CA,38.440111,-122.74563,-8,1
20772, Upper Marlboro, MD,38.792281,-76.781,-5,1
97257, Grants Pass, OR,42.421567,-123.33749,-8,1
7011, Clifton, NJ,40.879699,-74.14263,-5,1
18015, Bethlehem, PA,40.601261,-75.37542,-5,1
27893, Wilson, NC,35.715315,-77.91989,-5,1
75050, Grand Prairie, TX,32.759922,-97.01216,-6,1
27144, Salisbury, NC,35.708966,-80.464515,-5,1
74074, Stillwater, OK,36.105571,-97.07631,-6,1
10001, New York, NY,40.750742,-73.99653,-5,1
30030, Decatur, GA,33.771705,-84.29407,-5,1
30601, Athens, GA,33.979016,-83.36423,-5,1
94101, San Francisco, CA,37.784827,-122.727802,-8,1
2158, Newton, MA,42.353696,-71.188149,-5,1
11690, Far Rockaway, NY,40.651378,-73.870779,-5,1
34470, Ocala, FL,29.198704,-82.10556,-5,1
33501, Brandon, FL,27.929731,-82.315058,-5,1
66502, Manhattan, KS,39.184986,-96.56932,-6,1
68501, Lincoln, NE,40.865142,-96.823133,-6,1
48007, Troy, MI,42.606088,-83.297593,-5,1
22081, Merrifield, VA,38.873861,-77.234454,-5,1
33755, Clearwater, FL,27.979114,-82.78166,-5,1
23501, Norfolk, VA,36.895911,-76.208521,-5,1
39501, Gulfport, MS,30.380597,-89.09626,-6,1
59701, Butte, MT,45.996957,-112.51279,-7,1
89101, Las Vegas, NV,36.17022,-115.12785,-8,1
6050, New Britain, CT,41.666049,-72.778391,-5,1
60116, Carol Stream, IL,41.839679,-88.088716,-6,1
49301, Ada, MI,42.97252,-85.47798,-5,1
59901, Kalispell, MT,48.201414,-114.32202,-7,1
58501, Bismarck, ND,46.83962,-100.7723,-6,1
801, St Thomas, VI,18.322285,-64.963715,-4,0
92002, Carlsbad, CA,33.198032,-117.234701,-8,1
94536, Fremont, CA,37.562218,-121.99433,-8,1
90601, Whittier, CA,34.002333,-118.03562,-8,1
14201, Buffalo, NY,42.896407,-78.88515,-5,1
19901, Dover, DE,39.16426,-75.51163,-5,1
40201, Louisville, KY,38.188962,-85.676819,-5,1
36601, Mobile, AL,30.701142,-88.103184,-6,1
3030, Nashua, NH,42.749988,-71.46431,-5,1
92025, Escondido, CA,33.106862,-117.07077,-8,1
76001, Arlington, TX,32.634203,-97.14403,-6,1
78840, Del Rio, TX,29.404267,-100.88116,-6,1
2188, Weymouth, MA,42.212866,-70.95872,-5,1
37040, Clarksville, TN,36.528448,-87.34142,-6,1
20877, Gaithersburg, MD,39.13975,-77.18568,-5,1
96801, Honolulu, HI,24.859832,-168.021815,-10,0
78664, Round Rock, TX,30.514401,-97.65549,-6,1
47901, Lafayette, IN,40.418585,-86.88975,-5,0
67201, Wichita, KS,37.651974,-97.258997,-6,1
48359, Lake Orion, MI,42.722932,-83.28537,-5,1
6107, W Hartford, CT,41.75275,-72.7546,-5,1
76201, Denton, TX,33.226598,-97.13061,-6,1
61701, Bloomington, IL,40.477286,-88.99592,-6,1
34769, Saint Cloud, FL,28.24934,-81.28749,-5,1
1850, Lowell, MA,42.655791,-71.30504,-5,1
72019, North Little Rock, AR,34.804791,-92.28925,-6,1
92680, Garden Grove, CA,33.792124,-117.993561,-8,1
32173, Ormond Beach, FL,29.022729,-81.172169,-5,1
34678, Palm Harbor, FL,28.061727,-82.777757,-5,1
77840, College Station, TX,30.614647,-96.32641,-6,1
85233, Gilbert, AZ,33.348593,-111.80833,-7,0
47048, Bloomington, IN,39.155801,-86.516419,-5,0
37064, Franklin, TN,35.893823,-86.89919,-6,1
27101, Winston Salem, NC,36.107037,-80.21918,-5,1
37501, Memphis, TN,35.169255,-89.990415,-6,1
56560, Moorhead, MN,46.861413,-96.75367,-6,1
39201, Jackson, MS,32.292396,-90.18328,-6,1
11530, Garden City, NY,40.725257,-73.64056,-5,1
63301, Saint Charles, MO,38.808583,-90.50687,-6,1
32301, Tallahassee, FL,30.431283,-84.26903,-5,1
52001, Dubuque, IA,42.515252,-90.6794,-6,1
60504, Aurora, IL,41.760067,-88.25218,-6,1
19401, Norristown, PA,40.123708,-75.33843,-5,1
8817, Edison, NJ,40.516104,-74.39754,-5,1
97201, Portland, OR,45.49894,-122.68781,-8,1
30901, Augusta, GA,33.461121,-81.97265,-5,1
85301, Glendale, AZ,33.534128,-112.1767,-7,0
13440, Rome, NY,43.217069,-75.45531,-5,1
37660, Kingsport, TN,36.547133,-82.55408,-5,1
61201, Rock Island, IL,41.4903,-90.56956,-6,1
17001, Camp Hill, PA,40.21604,-76.924996,-5,1
95605, West Sacramento, CA,38.592155,-121.52805,-8,1
44901, Mansfield, OH,40.850833,-82.511369,-5,1
85087, New River, AZ,33.921493,-112.09992,-7,0
22606, Newport News, VA,38.112139,-77.329674,-5,1
75014, Irving, TX,32.767268,-96.777626,-6,1
20175, Leesburg, VA,39.080037,-77.58025,-5,1
49201, Jackson, MI,42.252268,-84.38842,-5,1
98201, Everett, WA,47.986274,-122.20222,-8,1
40741, London, KY,37.143828,-84.07839,-5,1
70458, Slidell, LA,30.269565,-89.77587,-6,1
